Barcode	SampleName	ASO	Dose	Experiment	Plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
BC07	PBS_2000nm_2	PBS	2000	TT21	1	930	264	59	429	24	154	0.461290322580645	0.283870967741935	PBS
BC08	EX-00001_2000nm_1	EX-00001	2000	TT21	1	712	210	30	364	17	91	0.51123595505618	0.294943820224719	EX-00001
BC09	PBS_200nm_1	PBS	200	TT21	1	1544	460	52	815	40	177	0.527849740932642	0.297927461139896	PBS
BC15	PBS_200nm_2	PBS	200	TT21	1	1958	560	118	949	62	269	0.484678243105209	0.286006128702758	PBS
BC16	EX-00001_200nm_1	EX-00001	200	TT21	1	2012	658	62	983	44	265	0.488568588469185	0.327037773359841	EX-00001
BC17	PBS_20nm_1	PBS	20	TT21	1	3640	1016	117	1965	83	459	0.539835164835165	0.279120879120879	PBS
BC23	PBS_20nm_2	PBS	20	TT21	1	7614	2209	407	3750	187	1061	0.492513790386131	0.290123456790123	PBS
BC25	PBS_2nm_1	PBS	2	TT21	1	1694	425	51	1015	24	179	0.599173553719008	0.250885478158205	PBS
BC31	PBS_2nm_2	PBS	2	TT21	1	982	303	40	505	26	108	0.514256619144603	0.308553971486762	PBS
BC32	EX-00001_2nm_1	EX-00001	2	TT21	1	3731	1046	271	1722	93	599	0.461538461538462	0.280353792548915	EX-00001
BC33	EX-00001_2000nm_2	EX-00001	2000	TT21	1	2703	865	129	1357	80	272	0.502034776174621	0.320014798372179	EX-00001
BC41	EX-00001_200nm_2	EX-00001	200	TT21	1	1712	528	57	885	51	191	0.516939252336449	0.308411214953271	EX-00001
BC49	EX-00001_20nm_2	EX-00001	20	TT21	1	1462	441	69	747	29	176	0.5109439124487	0.301641586867305	EX-00001
BC57	EX-00001_2nm_2	EX-00001	2	TT21	1	995	315	36	503	28	113	0.505527638190955	0.316582914572864	EX-00001
BC01	PBS_2000nm_	PBS	2000	TT21	2	7769	2181	523	3456	164	1445	0.444844896383061	0.280731110825074	PBS
BC08	EX-00001_2000nm_	EX-00001	2000	TT21	2	1004	269	73	477	30	155	0.475099601593626	0.26792828685259	EX-00001
BC09	PBS_200nm_	PBS	200	TT21	2	3334	990	215	1529	107	493	0.458608278344331	0.296940611877624	PBS
BC16	EX-00001_200nm_	EX-00001	200	TT21	2	3436	1044	190	1633	96	473	0.475261932479627	0.30384167636787	EX-00001
BC17	PBS_20nm_	PBS	20	TT21	2	3976	1106	253	1875	101	641	0.471579476861167	0.278169014084507	PBS
BC24	EX-00001_20nm_	EX-00001	20	TT21	2	2780	813	167	1272	83	445	0.457553956834532	0.292446043165468	EX-00001
BC25	PBS_2nm_	PBS	2	TT21	2	3571	903	247	1796	75	550	0.502940352842341	0.252870344441333	PBS
BC32	EX-00001_2nm_	EX-00001	2	TT21	2	4765	1384	291	2272	111	707	0.476810073452256	0.290451206715635	EX-00001
BC33	EX-00001_2000nm_	EX-00001	2000	TT21	2	3905	1232	206	1741	94	632	0.44583866837388	0.315492957746479	EX-00001
BC39	PBS_2000nm_	PBS	2000	TT21	2	8651	2452	585	3904	248	1462	0.451277308981621	0.283435440989481	PBS
BC41	EX-00001_200nm_	EX-00001	200	TT21	2	2555	752	129	1262	57	355	0.493933463796478	0.294324853228963	EX-00001
BC47	PBS_200nm_	PBS	200	TT21	2	8126	2407	612	3638	251	1218	0.447698744769874	0.296209697268029	PBS
BC49	EX-00001_20nm_	EX-00001	20	TT21	2	2533	720	154	1215	63	381	0.479668377418081	0.284247927358863	EX-00001
BC55	PBS_20nm_	PBS	20	TT21	2	5731	1716	353	2599	146	917	0.453498516838248	0.299424184261036	PBS
BC57	EX-00001_2nm_	EX-00001	2	TT21	2	1817	489	159	813	55	301	0.447440836543753	0.269124931205283	EX-00001
BC63	PBS_2nm_	PBS	2	TT21	2	2126	633	154	934	69	336	0.439322671683913	0.297742238946378	PBS
BC65	PBS_2000nm_	PBS	2000	TT21	2	1645	474	116	737	50	268	0.448024316109423	0.288145896656535	PBS
BC73	PBS_200nm_	PBS	200	TT21	2	6772	1833	470	3108	160	1201	0.458948611931483	0.270673360897815	PBS
BC81	PBS_20nm_	PBS	20	TT21	2	15975	2768	2205	8068	368	2566	0.505039123630673	0.173270735524257	PBS
BC89	PBS_2nm_	PBS	2	TT21	2	2704	484	352	1331	67	470	0.492233727810651	0.178994082840237	PBS
BC05	CR4148_2000nm	CR4148	2000	TT25	megan	208	38	18	109	3	40	0.524038461538462	0.182692307692308	4148
BC07	CR4150_2000nm	CR4150	2000	TT25	megan	143	28	11	78	4	22	0.545454545454545	0.195804195804196	4150
BC13	CR4148_200nm	CR4148	200	TT25	megan	492	114	47	251	10	70	0.510162601626016	0.231707317073171	4148
BC15	CR4150_200nm	CR4150	200	TT25	megan	157	41	16	82	2	16	0.522292993630573	0.261146496815287	4150
BC21	CR4148_20nm	CR4148	20	TT25	megan	198	63	20	89	2	24	0.44949494949495	0.318181818181818	4148
BC23	CR4150_20nm	CR4150	20	TT25	megan	364	92	66	141	9	56	0.387362637362637	0.252747252747253	4150
BC25	PBS_2nm	PBS	2	TT25	megan	206	56	10	119	2	19	0.577669902912621	0.271844660194175	PBS
BC29	CR4148_2nm	CR4148	2	TT25	megan	410	111	56	173	20	50	0.421951219512195	0.270731707317073	4148
BC31	CR4150_2nm	CR4150	2	TT25	megan	148	39	11	76	4	18	0.513513513513513	0.263513513513513	4150
BC35	CR4152_2000nm	CR4152	2000	TT25	megan	265	40	50	125	10	40	0.471698113207547	0.150943396226415	4152
BC39	PBS_2000nm	PBS	2000	TT25	megan	452	140	49	194	13	56	0.429203539823009	0.309734513274336	PBS
BC42	CR4151_200nm	CR4151	200	TT25	megan	107	16	18	53	2	18	0.495327102803738	0.149532710280374	4151
BC43	CR4152_200nm	CR4152	200	TT25	megan	249	49	45	124	4	27	0.497991967871486	0.196787148594378	4152
BC47	PBS_200nm	PBS	200	TT25	megan	593	202	41	257	13	80	0.433389544688027	0.340640809443508	PBS
BC55	PBS_20nm	PBS	20	TT25	megan	503	144	85	199	14	61	0.395626242544732	0.286282306163022	PBS
BC59	CR4152_2nm	CR4152	2	TT25	megan	143	18	14	92	4	15	0.643356643356643	0.125874125874126	4152
BC63	PBS_2nm	PBS	2	TT25	megan	135	40	15	61	0	19	0.451851851851852	0.296296296296296	PBS
BC69	CR4148_2000nm	CR4148	2000	TT25	megan	424	59	49	268	2	46	0.632075471698113	0.139150943396226	4148
BC76	CR4152_200nm	CR4152	200	TT25	megan	150	13	45	74	2	16	0.493333333333333	0.0866666666666667	4152
BC77	CR4148_200nm	CR4148	200	TT25	megan	390	56	90	193	6	45	0.494871794871795	0.143589743589744	4148
BC85	CR4148_20nm	CR4148	20	TT25	megan	408	92	49	198	14	55	0.485294117647059	0.225490196078431	4148
BC93	CR4148_2nm	CR4148	2	TT25	megan	578	141	70	275	9	83	0.475778546712803	0.243944636678201	4148
BC01	PBS_2000nm	PBS	2000	TT25	sara	413	116	45	189	6	57	0.457627118644068	0.280871670702179	PBS
BC05	CR4148_2000nm	CR4148	2000	TT25	sara	635	146	43	339	14	93	0.533858267716535	0.22992125984252	4148
BC07	CR4150_2000nm	CR4150	2000	TT25	sara	432	56	28	283	6	59	0.655092592592593	0.12962962962963	4150
BC08	EX-00001_2000nm	EX-00001	2000	TT25	sara	325	105	28	145	14	33	0.446153846153846	0.323076923076923	EX-00001
BC09	PBS_200nm	PBS	200	TT25	sara	489	185	34	202	20	48	0.413087934560327	0.378323108384458	PBS
BC13	CR4148_200nm	CR4148	200	TT25	sara	600	155	43	299	14	89	0.498333333333333	0.258333333333333	4148
BC15	CR4150_200nm	CR4150	200	TT25	sara	770	151	65	427	13	114	0.554545454545455	0.196103896103896	4150
BC16	EX-00001_200nm	EX-00001	200	TT25	sara	459	170	32	192	13	52	0.418300653594771	0.37037037037037	EX-00001
BC17	PBS_20nm	PBS	20	TT25	sara	436	143	28	199	13	53	0.456422018348624	0.327981651376147	PBS
BC21	CR4148_20nm	CR4148	20	TT25	sara	569	165	48	267	15	74	0.469244288224956	0.289982425307557	4148
BC23	CR4150_20nm	CR4150	20	TT25	sara	2875	943	281	1197	78	376	0.416347826086957	0.328	4150
BC24	EX-00001_20nm	EX-00001	20	TT25	sara	743	246	57	328	23	89	0.441453566621804	0.331090174966353	EX-00001
BC25	PBS_2nm	PBS	2	TT25	sara	971	261	78	509	17	106	0.524201853759011	0.268795056642636	PBS
BC29	CR4148_2nm	CR4148	2	TT25	sara	1756	493	195	765	45	258	0.435649202733485	0.280751708428246	4148
BC31	CR4150_2nm	CR4150	2	TT25	sara	593	178	43	283	25	64	0.477234401349073	0.300168634064081	4150
BC32	EX-00001_2nm	EX-00001	2	TT25	sara	1820	627	195	730	60	208	0.401098901098901	0.344505494505495	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT25	sara	345	101	35	165	8	36	0.478260869565217	0.292753623188406	EX-00001
BC34	CR4151_2000nm	CR4151	2000	TT25	sara	450	53	53	264	4	76	0.586666666666667	0.117777777777778	4151
BC35	CR4152_2000nm	CR4152	2000	TT25	sara	887	107	78	542	12	148	0.611048478015784	0.120631341600902	4152
BC39	PBS_2000nm	PBS	2000	TT25	sara	473	145	70	184	18	56	0.389006342494715	0.306553911205074	PBS
BC41	EX-00001_200nm	EX-00001	200	TT25	sara	315	92	32	154	7	30	0.488888888888889	0.292063492063492	EX-00001
BC42	CR4151_200nm	CR4151	200	TT25	sara	1395	269	120	791	30	185	0.567025089605735	0.192831541218638	4151
BC43	CR4152_200nm	CR4152	200	TT25	sara	1158	253	132	580	24	169	0.500863557858377	0.218480138169257	4152
BC47	PBS_200nm	PBS	200	TT25	sara	1160	400	116	473	42	129	0.407758620689655	0.344827586206897	PBS
BC49	EX-00001_20nm	EX-00001	20	TT25	sara	404	121	38	174	9	62	0.430693069306931	0.299504950495049	EX-00001
BC50	CR4151_20nm	CR4151	20	TT25	sara	347	93	35	166	9	44	0.478386167146974	0.268011527377522	4151
BC51	CR4152_20nm	CR4152	20	TT25	sara	449	115	46	221	15	52	0.492204899777283	0.256124721603563	4152
BC55	PBS_20nm	PBS	20	TT25	sara	621	196	80	245	26	74	0.394524959742351	0.315619967793881	PBS
BC57	EX-00001_2nm	EX-00001	2	TT25	sara	281	88	32	124	8	29	0.441281138790036	0.313167259786477	EX-00001
BC58	CR4151_2nm	CR4151	2	TT25	sara	946	316	96	384	27	123	0.405919661733615	0.334038054968288	4151
BC59	CR4152_2nm	CR4152	2	TT25	sara	564	165	63	254	12	70	0.450354609929078	0.292553191489362	4152
BC63	PBS_2nm	PBS	2	TT25	sara	1319	433	151	515	39	181	0.390447308567096	0.32827899924185	PBS
BC65	PBS_2000nm	PBS	2000	TT25	sara	211	59	25	96	7	24	0.454976303317536	0.279620853080569	PBS
BC66	CR4148_2000nm	CR4148	2000	TT25	sara	246	54	33	121	9	29	0.491869918699187	0.219512195121951	4148
BC68	CR4150_2000nm	CR4150	2000	TT25	sara	404	64	60	223	8	49	0.551980198019802	0.158415841584158	4150
BC69	CR4151_2000nm	CR4151	2000	TT25	sara	1732	218	174	1079	16	245	0.6229792147806	0.125866050808314	4151
BC70	CR4152_2000nm	CR4152	2000	TT25	sara	353	47	52	198	8	48	0.560906515580737	0.13314447592068	4152
BC73	PBS_200nm	PBS	200	TT25	sara	455	154	54	180	16	51	0.395604395604396	0.338461538461538	PBS
BC74	CR4148_200nm	CR4148	200	TT25	sara	374	95	44	163	12	60	0.435828877005348	0.254010695187166	4148
BC76	CR4150_200nm	CR4150	200	TT25	sara	854	192	118	413	19	112	0.483606557377049	0.224824355971897	4150
BC77	CR4151_200nm	CR4151	200	TT25	sara	2862	665	318	1479	62	338	0.516771488469602	0.23235499650594	4151
BC78	CR4152_200nm	CR4152	200	TT25	sara	602	132	76	299	15	80	0.496677740863787	0.219269102990033	4152
BC81	PBS_20nm	PBS	20	TT25	sara	733	178	127	306	24	98	0.417462482946794	0.242837653478854	PBS
BC82	CR4148_20nm	CR4148	20	TT25	sara	250	68	33	105	5	39	0.42	0.272	4148
BC84	CR4150_20nm	CR4150	20	TT25	sara	375	94	48	172	13	48	0.458666666666667	0.250666666666667	4150
BC85	CR4151_20nm	CR4151	20	TT25	sara	3114	911	325	1389	89	400	0.446050096339114	0.292549775208735	4151
BC86	CR4152_20nm	CR4152	20	TT25	sara	756	187	58	430	13	68	0.568783068783069	0.247354497354497	4152
BC89	PBS_2nm	PBS	2	TT25	sara	818	267	67	359	24	101	0.438875305623472	0.32640586797066	PBS
BC90	CR4148_2nm	CR4148	2	TT25	sara	946	284	101	416	34	111	0.439746300211416	0.300211416490486	4148
BC92	CR4150_2nm	CR4150	2	TT25	sara	421	134	55	165	16	51	0.391923990498812	0.318289786223278	4150
BC93	CR4151_2nm	CR4151	2	TT25	sara	3522	1222	286	1535	96	383	0.435831913685406	0.346961953435548	4151
BC94	CR4152_2nm	CR4152	2	TT25	sara	2330	741	287	957	71	274	0.410729613733906	0.318025751072961	4152
BC01	PBS_2000nm	PBS	2000	TT26	megan	124	38	12	59	3	12	0.475806451612903	0.306451612903226	PBS
BC09	PBS_200nm	PBS	200	TT26	megan	112	32	9	56	2	13	0.5	0.285714285714286	PBS
BC11	CR4154_200nm	CR4154	200	TT26	megan	227	58	21	117	1	30	0.515418502202643	0.255506607929515	4154
BC16	EX-00001_200nm	EX-00001	200	TT26	megan	113	43	10	44	4	12	0.389380530973451	0.380530973451327	EX-00001
BC17	PBS_20nm	PBS	20	TT26	megan	106	34	10	47	2	13	0.443396226415094	0.320754716981132	PBS
BC19	CR4154_20nm	CR4154	20	TT26	megan	218	70	19	103	4	22	0.472477064220183	0.321100917431193	4154
BC25	PBS_2nm	PBS	2	TT26	megan	198	67	22	88	3	18	0.444444444444444	0.338383838383838	PBS
BC27	CR4154_2nm	CR4154	2	TT26	megan	122	47	10	50	7	8	0.409836065573771	0.385245901639344	4154
