ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
CR-EX-00001	BC49	EX-00001_20nm_2	20	TT19	1	844	274	78	379	25	88	0.449052132701422	0.324644549763033	EX-00001
PBS	BC55	PBS_20nm_2	20	TT19	1	5191	1722	346	2355	126	642	0.453669813138124	0.331727990753227	PBS
CR-EX-00001	BC57	EX-00001_2nm_2	2	TT19	1	1013	321	85	458	25	124	0.452122408687068	0.316880552813425	EX-00001
PBS	BC63	PBS_2nm_2	2	TT19	1	1186	386	107	534	38	121	0.450252951096121	0.325463743676223	PBS
PBS	BC65	PBS_2000nm_3	2000	TT19	1	871	268	70	395	29	109	0.453501722158439	0.307692307692308	PBS
PBS	BC73	PBS_200nm_3	200	TT19	1	2740	809	243	1258	102	328	0.459124087591241	0.295255474452555	PBS
PBS	BC81	PBS_20nm_3	20	TT19	1	8837	2760	815	3922	280	1060	0.443815774584135	0.312323186601788	PBS
PBS	BC89	PBS_2nm_3	2	TT19	1	1112	368	106	451	33	154	0.405575539568345	0.330935251798561	PBS
PBS	BC01	PBS_2000nm	2000	TT19	2	4184	1278	370	1929	146	461	0.46104206500956	0.305449330783939	PBS
CR-AA-02327	BC07	CR2327_2000nm	2000	TT19	2	424	71	38	257	6	52	0.606132075471698	0.167452830188679	2327
CR-EX-00001	BC08	EX-00001_2000nm	2000	TT19	2	611	255	30	249	24	53	0.407528641571195	0.417348608837971	EX-00001
PBS	BC09	PBS_200nm	200	TT19	2	1719	576	111	772	57	203	0.449098312972659	0.335078534031414	PBS
CR-AA-02327	BC15	CR2327_200nm	200	TT19	2	1031	208	94	569	16	144	0.551891367604268	0.201745877788555	2327
CR-EX-00001	BC16	EX-00001_200nm	200	TT19	2	1106	359	110	464	41	132	0.419529837251356	0.324593128390597	EX-00001
PBS	BC17	PBS_20nm	20	TT19	2	2122	704	156	951	73	238	0.448162111215834	0.331762488218662	PBS
CR-AA-02327	BC23	CR2327_20nm	20	TT19	2	4640	1044	466	2333	114	683	0.502801724137931	0.225	2327
CR-EX-00001	BC24	EX-00001_20nm	20	TT19	2	1375	467	111	596	41	160	0.433454545454545	0.339636363636364	EX-00001
PBS	BC25	PBS_2nm	2	TT19	2	2586	792	221	1207	73	293	0.466744006187162	0.306264501160093	PBS
CR-AA-02327	BC31	CR2327_2nm	2	TT19	2	887	246	105	414	40	82	0.46674182638106	0.277339346110485	2327
CR-EX-00001	BC32	EX-00001_2nm	2	TT19	2	3420	1081	357	1458	111	413	0.426315789473684	0.316081871345029	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT19	2	1945	588	220	890	58	189	0.457583547557841	0.302313624678663	EX-00001
PBS	BC39	PBS_2000nm	2000	TT19	2	1131	345	111	504	34	137	0.445623342175066	0.305039787798409	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT19	2	1174	391	104	541	33	105	0.460817717206133	0.333049403747871	EX-00001
PBS	BC47	PBS_200nm	200	TT19	2	586	155	81	273	18	59	0.465870307167235	0.264505119453925	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT19	2	864	258	87	370	30	119	0.428240740740741	0.298611111111111	EX-00001
PBS	BC55	PBS_20nm	20	TT19	2	2005	595	258	862	82	208	0.429925187032419	0.296758104738155	PBS
CR-EX-00001	BC57	EX-00001_2nm	2	TT19	2	1615	557	147	707	66	138	0.437770897832817	0.344891640866873	EX-00001
PBS	BC63	PBS_2nm	2	TT19	2	943	277	136	393	29	108	0.416755037115589	0.293743372216331	PBS
PBS	BC65	PBS_2000nm	2000	TT19	2	690	231	70	292	18	79	0.423188405797101	0.334782608695652	PBS
PBS	BC73	PBS_200nm	200	TT19	2	3564	1131	327	1567	133	406	0.439674523007856	0.317340067340067	PBS
PBS	BC81	PBS_20nm	20	TT19	2	5393	1655	598	2382	160	598	0.4416836640089	0.306879287965882	PBS
PBS	BC89	PBS_2nm	2	TT19	2	1618	528	176	684	47	183	0.42274412855377	0.326328800988875	PBS
PBS	BC09	PBS_200nm	200	TT20	1	704	246	33	323	21	81	0.458806818181818	0.349431818181818	PBS
