sample_id	exp	conc_nm	ave_sample_dire1_ov_ire	ave_PBS_dire1_ov_ire	sample_ov_pbs	ASO_Conc
CR4174	TT34	200	0.197233576571128	0.873490116471587	0.225799437053554	200 nM
CR4174	TT28	20	0.404961944404552	0.607962310581776	0.666097120423522	20 nM
CR4174	TT34	20	0.594729553182694	0.863473865877712	0.688763814036407	20 nM
CR4174	TT28	2	0.836363636363636	0.963570033912239	0.867984274031306	2 nM
CR4174	TT34	2	0.794547640283864	0.700203780479235	1.13473771841114	2 nM
EX-00001	TT18	2000	0.629961696170817	0.604882546525007	1.04146118910173	2000 nM
EX-00001	TT19	2000	0.755232712094386	0.709649589680517	1.06423328228005	2000 nM
EX-00001	TT20	2000	0.519983876975198	0.55017028428179	0.945132610449875	2000 nM
EX-00001	TT21	2000	0.544466415049184	0.564345280842815	0.964775348588114	2000 nM
EX-00001	TT25	2000	0.711382113821138	0.672384870886166	1.05799839440702	2000 nM
EX-00001	TT28	2000	0.78989898989899	0.849299199084668	0.930059737193092	2000 nM
EX-00001	TT29	2000	0.862366210540577	0.891152071122885	0.967698149939733	2000 nM
EX-00001	TT30	2000	0.767383107088989	0.892216324916008	0.860086377775288	2000 nM
EX-00001	TT31	2000	0.613861386138614	0.795763736679011	0.771411611064942	2000 nM
EX-00001	TT18	200	0.59097295571606	0.56088687509816	1.05364019368903	200 nM
EX-00001	TT19	200	0.708844036142056	0.672904799969429	1.05340909468064	200 nM
EX-00001	TT20	200	0.54887627252423	0.651209969188223	0.842856065622646	200 nM
EX-00001	TT21	200	0.551465537447834	0.540389370133437	1.02049664173013	200 nM
EX-00001	TT25	200	0.743112373737373	0.831404022919128	0.893804159292187	200 nM
EX-00001	TT26	200	0.388888888888889	0.636708539379743	0.610780074141505	200 nM
EX-00001	TT27	200	0.953488372093023	0.85781990521327	1.11152511884877	200 nM
EX-00001	TT28	200	0.767295597484277	0.664970288713548	1.15387951989357	200 nM
EX-00001	TT29	200	0.837055654545649	0.900991740326154	0.929038099997054	200 nM
EX-00001	TT30	200	0.804172179434464	0.849698766181041	0.946420321461457	200 nM
EX-00001	TT31	200	0.797826086956521	0.819985452744634	0.972975903762754	200 nM
EX-00001	TT33	200	1.11267605633803	0.733687683284459	1.51655272630034	200 nM
EX-00001	TT34	200	0.867117117117117	0.873490116471587	0.992703982295514	200 nM
EX-00001	TT18	20	0.615322985355506	0.538396738918445	1.1428802235905	20 nM
EX-00001	TT19	20	0.709300718111663	0.698953952702489	1.01480321467411	20 nM
EX-00001	TT20	20	0.522446717853047	0.626881947316245	0.833405268870323	20 nM
EX-00001	TT21	20	0.492624129574289	0.472236999733406	1.04317139455907	20 nM
EX-00001	TT25	20	0.715597869786629	0.716230873592244	0.999116201452696	20 nM
EX-00001	TT26	20	0.670833333333333	0.765719240496439	0.87608263950428	20 nM
EX-00001	TT28	20	0.611904761904762	0.607962310581776	1.00648469692013	20 nM
EX-00001	TT29	20	0.844337370094656	0.818201704901098	1.03194281439039	20 nM
EX-00001	TT30	20	0.856209795129695	0.756853999789314	1.13127471793508	20 nM
EX-00001	TT31	20	0.870056232427364	0.824904603197604	1.05473557676213	20 nM
EX-00001	TT33	20	0.946428571428571	0.560958205912334	1.68716414423302	20 nM
EX-00001	TT34	20	0.609756097560976	0.863473865877712	0.706166245044562	20 nM
EX-00001	TT18	2	0.565353249848747	0.542582647152415	1.04196706771924	2 nM
EX-00001	TT19	2	0.78944997115976	0.732414853058057	1.07787269450307	2 nM
EX-00001	TT20	2	0.698121233534052	0.498450913839286	1.40058171055765	2 nM
EX-00001	TT21	2	0.506290391080844	0.434747790970479	1.16456115843777	2 nM
EX-00001	TT25	2	0.874530511245637	0.606255427307648	1.44251164089266	2 nM
EX-00001	TT26	2	0.907692307692308	0.762921422012331	1.1897585799834	2 nM
EX-00001	TT28	2	0.551401869158878	0.963570033912239	0.57224887631686	2 nM
EX-00001	TT29	2	0.960854062791494	0.784165591850656	1.22532035679332	2 nM
EX-00001	TT30	2	0.796079638752052	0.76994393135764	1.03394494888521	2 nM
EX-00001	TT31	2	0.98235294117647	0.796010908168443	1.23409482344505	2 nM
EX-00001	TT33	2	0.866666666666667	0.365740740740741	2.36962025316456	2 nM
EX-00001	TT34	2	0.872340425531915	0.700203780479235	1.24583792583191	2 nM
